window_id,timestamp,symbol,visual_regime,regime_type,volatility,trend_strength,high,low,close,volume,is_correct
2258,1778080740,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000423,0.0048,28576.50,28566.75,28576.25,719,False
2259,1778080800,NQM6.CME@RITHMIC,BALANCE,UPTREND,0.000423,0.0062,28576.25,28567.25,28571.25,917,False
2260,1778080860,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000431,0.0070,28580.75,28569.00,28574.75,930,False
2261,1778080920,NQM6.CME@RITHMIC,TREND_DOWN,UPTREND,0.000423,0.0069,28575.50,28568.75,28571.00,631,False
2262,1778080980,NQM6.CME@RITHMIC,TREND_DOWN,UPTREND,0.000407,0.0067,28575.25,28565.25,28573.75,879,False
2263,1778081040,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000412,0.0059,28579.25,28569.75,28574.00,618,False
2264,1778081100,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000416,0.0060,28582.25,28572.25,28580.50,772,False
2265,1778081160,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000388,0.0058,28582.50,28576.25,28580.25,805,False
2266,1778081220,NQM6.CME@RITHMIC,TREND_DOWN,UPTREND,0.000404,0.0059,28582.25,28572.75,28579.00,722,False
2267,1778081280,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000369,0.0060,28582.50,28575.75,28582.00,500,False
2268,1778081340,NQM6.CME@RITHMIC,BALANCE,UPTREND,0.000344,0.0056,28582.50,28576.00,28577.75,601,False
2269,1778081400,NQM6.CME@RITHMIC,BALANCE,UPTREND,0.000331,0.0048,28584.75,28573.00,28575.50,1216,False
2270,1778081460,NQM6.CME@RITHMIC,BALANCE,UPTREND,0.000314,0.0041,28582.75,28574.75,28577.25,542,False
2271,1778081520,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000314,0.0034,28586.75,28576.50,28581.00,948,False
2272,1778081580,NQM6.CME@RITHMIC,TREND_DOWN,RANGE,0.000315,0.0022,28581.25,28571.25,28575.50,1144,True
2273,1778081640,NQM6.CME@RITHMIC,BALANCE,RANGE,0.000311,0.0015,28580.50,28573.25,28576.75,759,True
2274,1778081700,NQM6.CME@RITHMIC,BALANCE,RANGE,0.000305,0.0008,28580.50,28571.00,28574.25,673,True
2275,1778081760,NQM6.CME@RITHMIC,TREND_DOWN,RANGE,0.000307,0.0001,28575.25,28567.75,28571.00,764,True
2276,1778081820,NQM6.CME@RITHMIC,TREND_DOWN,DOWNTREND,0.000322,0.0014,28571.00,28555.00,28556.25,1120,False
2277,1778081880,NQM6.CME@RITHMIC,TREND_DOWN,DOWNTREND,0.000342,0.0027,28569.75,28552.25,28553.25,937,False
2278,1778081940,NQM6.CME@RITHMIC,TREND_DOWN,DOWNTREND,0.000339,0.0039,28557.00,28548.25,28554.75,706,False
2279,1778082000,NQM6.CME@RITHMIC,TREND_UP,DOWNTREND,0.000354,0.0047,28566.75,28554.50,28559.75,831,False
2280,1778082060,NQM6.CME@RITHMIC,TREND_DOWN,DOWNTREND,0.000355,0.0056,28562.50,28552.50,28552.75,574,False
2281,1778082120,NQM6.CME@RITHMIC,TREND_DOWN,DOWNTREND,0.000366,0.0053,28557.25,28546.00,28556.75,1175,False
2282,1778082180,NQM6.CME@RITHMIC,TREND_DOWN,DOWNTREND,0.000414,0.0061,28556.75,28531.50,28532.00,1550,False
2283,1778082240,NQM6.CME@RITHMIC,BALANCE,DOWNTREND,0.000495,0.0056,28574.75,28530.25,28556.75,2875,False
2284,1778082300,NQM6.CME@RITHMIC,BALANCE,DOWNTREND,0.000530,0.0050,28569.50,28547.50,28565.00,1706,False
2285,1778082360,NQM6.CME@RITHMIC,TREND_UP,RANGE,0.000539,0.0038,28576.00,28562.25,28566.50,941,True
2286,1778082420,NQM6.CME@RITHMIC,TREND_DOWN,RANGE,0.000544,0.0029,28573.00,28561.00,28565.75,594,True
2287,1778082480,NQM6.CME@RITHMIC,TREND_DOWN,RANGE,0.000556,0.0005,28572.25,28560.00,28561.50,639,True
2288,1778082540,NQM6.CME@RITHMIC,TREND_DOWN,RANGE,0.000556,0.0000,28565.00,28555.50,28559.00,651,True
2289,1778082600,NQM6.CME@RITHMIC,BALANCE,RANGE,0.000573,0.0002,28565.75,28551.75,28557.75,547,True
2290,1778082660,NQM6.CME@RITHMIC,TREND_DOWN,RANGE,0.000553,0.0008,28557.75,28549.75,28551.75,430,True
2291,1778082720,NQM6.CME@RITHMIC,TREND_DOWN,RANGE,0.000531,0.0011,28557.25,28548.50,28555.50,455,True
2292,1778082780,NQM6.CME@RITHMIC,TREND_UP,DOWNTREND,0.000552,0.0006,28571.25,28554.00,28564.75,697,False
2293,1778082840,NQM6.CME@RITHMIC,TREND_UP,RANGE,0.000541,0.0002,28572.75,28564.75,28569.00,393,True
2294,1778082900,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000534,0.0010,28574.75,28567.50,28567.50,520,False
2295,1778082960,NQM6.CME@RITHMIC,TREND_DOWN,UPTREND,0.000527,0.0022,28571.50,28563.25,28568.25,375,False
